,content,sentiment
161,chicken pizza night wasnt deep dish glad hear fun,0
162,yea getting best,0
163,bamboo like attempt structure sentence sense fail,3
164,eating breakfast bread boring cloudy weather drizzle,0
165,think prize end sorry hear,1
166,computer mirror edge poor win thermal sad game,1
167,day,2
168,following people twitter,0
169,think leg burnt hurt,1
170,text,2
171,thanks great day,0
172,totally know ticketless travel work,2
173,hope able join future edition,1
174,chicken chip,2
175,,0
176,enjoy thanks recipe tomorrow morning,0
177,cat dog thankfully,0
178,hope went comfortable world application,0
179,ur awesome think u u write crossing finger,1
180,thats right totally forgot till august great summer,0
181,period exam day study night study sleep funny time,3
182,cant wait pic,1
183,moment silence budget bout b spend budget,1
184,today ate bowl grape waiting dinner,0
185,oh hope reach,1
186,aw man got listen block party like min,1
187,unfortunately drunk money drunk u imagine,1
188,sad drive new song dont sound good hoped,0
189,oh great violin,3
190,miss,1
191,want house cant weekend spend da shopping,1
192,bless sock think need rethink age thing,0
193,got lab thats left cant figure,0
194,shopping,2
195,update calendar look like,1
196,home sleeping pull bed wishing got find apt,2
197,happy u know copy art u fake twitter n cant find,2
198,starting sad,1
199,yeah entire time swoon eye swoon thinking,0
200,job waiting friend thanks need little,2
201,hope feeling better weekend,1
202,click subscription vote tweet today best list,1
203,court order,1
204,yeah ask,1
205,ya honey account,0
206,welcome glad know product rox man,0
207,flew plane pink,1
208,studio bogie best friend guy,0
209,main preoccupation preoccupation schizophrenic,1
210,share,2
211,tired dont sat lawn mower didnt push damn thing,2
212,going work,0
213,spelling important,2
214,sad read,0
215,glad u singing,0
216,account local comic store ran k time,1
217,ate candy today feel sick,1
218,morning weekend leftover domino,1
219,maybe chance time,1
220,eat,0
221,blue today,0
222,,2
223,like,0
224,warm usual stuck wearing sun dress cold day,2
225,think falling love,0
226,feeling sick stomach today,1
227,looking forward crazy commute come thats going,1
228,ready trip dont leave,1
229,thought like hot room hot sleep,1
230,happy mother day,0
231,random,0
232,caught lunch today correct stalking,1
233,brother moving forever,2
234,live chat likely,1
235,,2
236,know ur dog getting old hilly dont grow,2
237,good morning guy dont forget today mother day mommy love best,0
238,printed gift card happy mother day talk minute,1
239,restricted driving didnt stupid double standard,3
240,thanks kashi thinking day mad disservice taking ur class,0
241,bottle foundation broken,1
242,twitter driving let profile pic guess ill trying,0
243,thanks new work arrive week,2
244,hulu work canada,2
245,ate forgive sorry dont lose,1
246,actually think got idea captain log,2
247,love gossip girl episode wrath con,0
248,feeling good performance government politics exam morning going lunch,0
249,north opt devastating land assault scary talk,1
250,thats sweet,0
251,hive leg arm heck allergic itch bad dang,1
252,ready hit mall thing,0
253,forget,2
254,hey yes praise live,0
255,love sweet potato fry definitely,0
256,ill fix change thats r feed,2
257,discrimination bad thing learned child year ago,2
258,talk time sure manage,2
259,tour lot fan love,0
260,enjoy picnic cherry tree park hope weather stay nice,1
261,,1
262,cool guide best tip use absolutely,1
263,lost way,1
264,love fact bank holiday stay bed,0
265,thing twit,0
266,ah great fiddle later figure,0
267,twitter,2
268,ill check thanks good luck book,0
269,,0
270,total bummer lost follower,0
271,hey negative handle tube decade longer hero,1
272,tee u supposed,0
273,witty,0
274,tweet fancy coming house cooking sound,2
275,extra money,2
276,yeah sound bit bad man got exam week week,1
277,cobra bird flu bar hate play mix oh freeze frame,0
278,u know suck toe ouch,3
279,cat sick,1
280,wondering actually week bar pack peep r,2
281,thank sexy,0
282,easier way phone later morning p diddy pic,2
283,hi jenna hope thinking wishing best lot love new york,0
284,work,2
285,aw hope feel better,0
286,going settle watch sisterhood traveling pant mar bar,2
287,yeah tomato paste oil traditional sandwich eat olive cheese,0
288,worried sister guinea pig hope tonight baby,1
289,busy hope holiday day,0
290,u let lady potty trained want,2
291,,2
292,stupid stupid controller dont work cant play kingdom heart,3
293,incase forget happy mother day mommy best world,0
294,work splendid,0
295,going figure come day,0
296,bah dont think fan page,0
297,circle box f work,2
298,mad glee wont premiere till fall,1
299,mean fam minus,1
300,old year,0
301,nope sleeping live east coast,0
302,hope feel better soon,2
303,wow coffee hand outside peaceful morning,0
304,ya chop bad seen real appeal bad quality audio crap artist,3
305,poop look like office doesnt key dont key neighbor dont key bike ride,1
306,assignment actually looking pretty glad topic minute,0
307,maybe wont run running shoe,2
308,good morning clean house bit maybe clean rest day,0
309,read thats horrible accounting taste,3
310,got home love stake shake,1
311,thanks follow,0
312,baby good luck,0
313,man wont home host,1
314,cant need work overtime project sorry,1
315,chair comfortable,3
316,location thing option include location,0
317,thanks remember stuff,0
318,add,0
319,ouch lovely weather damn cover sugar x,0
320,assignment week homework,1
321,time learning tomorrow early start night night good people,0
322,let find quickly,0
323,ultra,2
324,dont understand,0
325,silly goose,3
326,yeah thats cant wait till tour come tour epic backstage material hilarious,0
327,morning begin wed knowing woo,0
328,possibly drunk suck,1
329,sleep bed fink popeye c,0
330,miss thick blood,1
331,hate new section school year,3
332,want awesome buy birthday,0
333,safe flight,0
334,think boat sailed friend month ago wish luck,0
335,thank u guy helping follower thing probably win cause dont follower,1
336,busy day twitter,1
337,dont ya love free night catch ha,0
338,feeling better yesterday lay hate youth leader polar bear swim love youth,2
339,havent gone sleep early hit beach shopping,1
340,green day boulevard broken dream hinder lip angel day collide nice song,1
341,happy twitter,0
342,today good thought water b told prob,0
343,lunch yesterday,2
344,dilemma wear foggy sun,2
345,evil grin busy work today wont,1
346,yeah miss spender closer holding,1
347,wonder thumbnail picture arent showing,0
348,didnt chat oh time eat praline,0
349,got long weekend,0
350,good,0
351,watch badly,1
352,cookout closed,1
353,home stretch night ill piss drunk finished exam,0
354,know successful starting great coming year good luck,0
355,hate cold,1
356,wish ow hey u wrong good thanks love,0
357,year sin final release right,1
358,watching bowl noodle,1
359,blue sky grey hazy window,2
360,think late night hit town meet friend soon ice cream coffee,0
361,heart,0
362,ecstatic client deed lieu sign lockbox happy satisfied client,0
363,tour stealing want copy,2
364,end like poor bus driver weird wish today,1
365,,1
366,guy interested watching tomorrow let know,0
367,drink din w amy lori,0
368,tomorrow mother day dont gift tell love,0
369,folk thought hilarious told story saw shirt wore tonight laughter night,0
370,snack drink chili power went got food,3
371,awesome time cant sleep n tomorrow job got game face,1
372,dont time chat sorry girl miss new yeah today highlight tomorrow,1
373,life convenient,0
374,annoying start computer middle night,3
375,upset hospital,0
376,getting twitter,2
377,thanks unfortunately eu satellite provider look great basically useless,0
378,nope hungry,1
379,yeah,2
380,upset donna today miss hugely yes like hour,1
381,know help everyday,0
382,eating,0
383,driving bed,0
384,thank,0
385,love crush small second,1
386,girl song think u come miss u,1
387,,1
388,,2
389,interesting today overall good day,2
390,twitter year think lot easier monetize need,0
391,jack titanic u c movie watching rite,0
392,lost find matter,1
393,eh cold,1
394,trying figure perfect way leading life,1
395,yep work love potbelly cant wait trip,0
396,whats hot new,0
397,da new da way braid,0
398,twitter community,0
399,boat yesterday pick time,0
400,jumbo slice,2
401,need retail therapy bad money,1
402,getting horse head desk,0
403,hard concentrate rite wen weird lupus feeling thro body,1
404,late home,0
405,come close save yr doesnt drain spray paint yr yard green instead,2
406,thanks,2
407,message cheer,1
408,wow,1
409,bad need stop thinking,3
410,taking day absolutely begin morrow,2
411,drank sly didnt thats know,1
412,sigh come sac central valley,1
413,cinema tonight half price,0
414,thanks feedback,0
415,happy mother day love u,0
416,watching,0
417,trolling guy sad right,2
418,mean hour week use sleeping yeah suppose use,1
419,poor pirate wisdom tooth looking peaky,1
420,day today know love,0
421,wont virtual console,0
422,good midday,0
423,incredibly worried,1
424,geography,3
425,drinking bride war good,0
426,night twit morning,0
427,basketball flat massive spider pavement chalk sun gone,3
428,oki feeling going lunch wine,1
429,actually movie thing concert,1
430,feel tao,1
431,like matter fun need hug bowl comfy blanket soon home,1
432,happy mother day,0
433,yeah meant photo drink didnt x,0
434,,2
435,thought tell pretty eye,0
436,away cinema tweet later th x,0
437,miss son huge crush,0
438,good,2
439,tell ill beat doesnt share,1
440,bad start day sweating butt range,1
441,thanks tiff went wore old,1
442,come fun find offer country live outside change tiny,1
443,dad aw suck working morning study exam,1
444,ha great description jealousy pic morrow tat actually freethinking,1
445,screw going bed love,2
446,think finally point life need nasal hair trimmer,2
447,sorry thats el pic bad,1
448,bought pink day ago week hopefully getting ear pierced week,0
449,,2
450,sorry hear ur flight got blow,1
451,good know alive today,0
452,finally got live running stupid router ah gaming time later,0
453,probably person world touch ghetto,0
454,eat chicken,0
455,wedding amazing lie cant wait pic,0
456,great stuff cant wait hear,0
457,r adopted ballet love cocktail,0
458,opening store tomorrow limited wholesale,1
459,thanks link smile,0
460,play tonight pout pout face,1
461,wear glass video look amazing,0
462,drink,0
463,looking new beard fell window bright green time,2
464,moving sore getting close,1
465,yea sweet u r good,0
466,talk,2
467,late seen bubble tweet video,0
468,r damn exam gone b b sun,3
469,,1
470,going bitch,3
471,work today car perfect going random shopping later,0
472,going sleep,2
473,cool class summer boo,1
474,thought mention dont need enable growl work avoid notification,1
475,west shame doesnt joke,1
476,tired glad bank holiday,2
477,man aint v presence feel like,1
478,come tonite,2
479,awhile til come think,0
480,,1
481,awake going ready today,2
482,,2
483,watching,2
484,dont know work tomorrow wit body dis sore ugh,1
485,looking forward session gym,0
486,sweetheart,0
487,poor little holly night act tomorrow,1
488,wrong love,0
489,outlook good,1
490,sending mother,0
491,weather ugh like asthma yeah,1
492,working way myst maze video export,0
493,getting ready leave school,0
494,welcome twitter world tell twitter know doesnt want,1
495,hopefully going work tomorrow tired flu love working child fun play,0
496,dozen thanks quilt,2
497,lost key waiting dad,1
498,gross lady looking weird ha ha army,0
499,bye,2
500,said talking picture colin,0
501,u day u didnt respond whats,2
502,training la aflat sunt peste tot fun,1
503,yeah dry,1
504,picture pretty day,0
505,tea late coffee id fly room funny sketch w,0
506,,1
507,meeting square bummer free parking,2
508,birthday hell wait,0
509,listen song start cry remember moment friend primary school,0
510,happy mother day mum hope lovely day,1
511,,0
512,saying past week miss spade good old day let know baby,1
513,miss,2
514,know unfortunately health insurance awesome,1
515,supposed cape cod cold rainy,1
516,dont start dating suck listen thanks,1
517,cant contain excited,0
518,way people cry school picnic decide want public confused sad,1
519,flu unto shopping got fresh chicken chicken sat sad panda,1
520,watching half men work experience tomorrow,1
521,,2
522,lovesick bowling complain love,1
523,actually drove today incident report quote ice cube today good day,2
524,eating,0
525,pocket edge network sob,1
526,watch snowball dancing bird promise,0
527,talking best friend rio de valentine day brazil,2
528,lied meant time week longer miss mommy,1
529,didnt want tell think body,1
530,hi want good luck month,0
531,thanks actually got twitter picture wouldnt,1
532,ouch headache ridiculously good mood,0
533,look cute dark,0
534,son medium thing stream music home working cant play music,3
535,watch v game yesterday,0
536,lost game point,1
537,gosh summer vacation sad wonder section,1
538,,2
539,havent friend lame,0
540,way minute limit aim ill tell,0
541,respond,3
542,worked today yesterday time card worked oh hello weekend,1
543,seen doctor today fine scan precaution,1
544,tap,2
545,joke love,0
546,twitter question brother st soccer game season stay warmed bed minute reply,2
547,thing feel rite,2
548,,2
549,fly room,0
550,look yummy want taste human,2
551,,0
552,wish spend weekend high school student burbank fly,1
553,night didnt meet ended possibly best pizza,0
554,bad catch brazil good luck amazing,0
555,think rain,0
556,fan cap want music taste epic,0
557,daddy life love hull bitch mate,0
558,ya tonight photo didnt yesterday thanks dont forget,0
559,power went cal,1
560,rusk good tummy ache p try fennel camomile tea work obviously try,2
561,darn supposed,1
562,big time night canasta movie homework stay shiny love everybody,0
563,awesomeness completely finished left right,0
564,know mean,0
565,needing new video,2
566,drove said worst driver,0
567,funny thing dont know class race half people group yes,2
568,wife love,0
569,welcome hope nice break,0
570,yeah classic cinema havent time,1
571,thanks,0
572,miss standing,0
573,week work week,0
574,art party crazy artist bit,2
575,sitting awe price renew warranty doubled matter week,2
576,luck u arent coming luckily ill seeing u crew,1
577,midnight hear shower calling technically twice day morning,2
578,hi check need thing sorry day,1
579,sitting home sick wish cold away start mon,1
580,guess cant request song,2
581,tarot eternal lo going autumn cool huh,0
582,ill hug,0
583,sorry hear dude,1
584,sadly live,1
585,,2
586,went hard st,0
587,life family probably got spelling bee crown note spell check doesnt recognize,0
588,office second round shot,1
589,yeah thats difficult break easy problem,1
590,new driver license design ugly,3
591,listening revenge kiss inspiration dont think digging,2
592,mean,3
593,bye great meeting,0
594,love sister brag tired spell bowling right,1
595,spend today sexy best friend,0
596,favorite got new job marc fair dont want,0
597,donated charity feel good gave good workout heavy lifting,0
598,week longer,2
599,yes tax disguise booking fee commission travel portal charge try time,2
600,probably best surprise amazing,0
601,route home parent th wedding anniversary day em dinner let c find woman long,0
602,dang hour drive bad daughter st party,0
603,hurt foot gym class,1
604,guess easier said unfortunately,2
605,stupid stomach pain today outing stomach,1
606,white pointy shoe ah got excited new drummer mean,0
607,able update tonight lame know,0
608,apple fail set new mac dashboard weather canada hard tell,1
609,man suck feel pain local id buy cup coffee,1
610,foot hate foot cold,3
611,dont think early,0
612,honor,0
613,didnt hopefully day doesnt suck,1
614,loving fact talk tell want amazing,0
615,u want send naughty snap taken shoot,2
616,happy mother day mother list,0
617,friend,1
618,access board mean bad weather flying,0
619,u think south,0
620,damn id interested working care dont live,1
621,middle perfect weekend,2
622,,2
623,tat look beautiful heck business woman,0
624,cyrus shop,2
625,,2
626,thought goldfish fair seen year,1
627,poor know bless,0
628,wog love em smell food hungry,0
629,sick went bed woke feeling dead,1
630,weather ugh,1
631,boy going movie wish didnt feel like,0
632,failure ate char thought skip dinner nonexistent diet,1
633,going,0
634,,2
635,sigh,2
636,dont mind sam dont like smarmy,0
637,computer work hate tech support,1
638,miss,1
639,wash whip,2
640,guy come freezing,1
641,paper left,1
642,ill grand,2
643,phone mum,2
644,chair,2
645,think vog making sicker think feeling slightly achy,1
646,wow love thanks,0
647,bit tongue,1
648,thats lost hater love,1
649,pretty depressed losing hello kitty necklace,1
650,late,1
651,hey sticker,2
652,think,0
653,buy deck sleeve x card page man page expensive stupid collection,0
654,,2
655,came hanging friend cocktail drunk feeling good hope,0
656,park sunburnt cant wait sober b fun,1
657,going body pump yoga going enjoy lovely family loving day holiday,0
658,mother day tweet,0
659,figured send way got dupe felt bad sending stuff,1
660,know idiot,3
661,ya,2
662,nice nick x love,0
663,soon theyre wont type,2
664,better half bed weather gud black country day wont let damper,1
665,going crazy super head ach hell law ben morning,2
666,broke want help girl best buy weekend ill feed u,1
667,watching office comedy gold,2
668,laura ur,2
669,wow sleep eye open ti amaze lie,0
670,tell,1
671,want cost maybe parent,0
672,look like got new job,0
673,shaw guy want sleeping,1
674,baby god sad oh life,0
675,home handed comic found today shall indulge cupcake magnolia bakery,1
676,count,0
677,recoverable boot thats grr business,1
678,watching huge crush,2
679,yes use mouse second monitor,2
680,got virgin sure thanks,1
681,disappointed angel demon movie shame great book,1
682,hate sound like shut,1
683,sneezing felt like week good,2
684,morning school work day u twitter,2
685,miss long comment weekend,1
686,went shopping deserve night town big city,0
687,bed good miss place cant wait til summer,0
688,oh wish lay sun,1
689,cleaning b leaving da road suite,0
690,listening music super junior like way sing dance hope someday meet,0
691,brother phone,2
692,r u tonight,1
693,tweet,1
694,id going destroy,1
695,,1
696,upgrade time tax return,1
697,sure careful making statement dont parallel idea happen seen,1
698,welcome actually fan trying close,0
699,thanks yep dream come true excited camera shaking taking photo,0
700,cant bed,1
701,hey great gig exchange track lost loop right writing,1
702,thats good hear hope family prayer love,0
703,nice water lucky exam yeah worried exam,1
704,kind mood reason ill try mushy behave,0
705,log ride reference think think ride wet,0
706,wake thought dad want food,3
707,busy slay properly hopefully ill stay ahead task week,1
708,starting account twitter,2
709,yeah ur picture baby,0
710,didnt job want teach,2
711,,0
712,th season,2
713,wide awake,1
714,sad nephew keeping busy item,1
715,groom think ill die old maid,1
716,phone thanks alan,0
717,love ya miss season commentary r funny,1
718,trying sale job,1
719,whats going,0
720,good morning ti rainy,0
721,time week clear blue sky,1
722,oh doesnt sound good better checked,0
723,think fun suck marketing promotion,1
724,welcome family new pillow going lay head tonight,0
725,super hungry waiting feed,0
726,summer holiday year,0
727,cold big jacket got cat ear,1
728,add,0
729,busy,1
730,twitter account,2
731,sleepyhead looking forward tomorrow love family,0
732,jealous yoghurt carrot,1
733,totally plain simple hate groom id running far far away,3
734,working day finally miss,0
735,tired tired tired think getting sick,1
736,ran machine problem yeah,1
737,character find rarely elaborate,1
738,hug hug hug glad feeling better,0
739,follow,1
740,crunk fam bam,0
741,good morning universe today,2
742,wish,2
743,confused angry anxious lonely,1
744,going wrong quot happy,1
745,come,0
746,finally nice hour leave,1
747,bad good mood phone,0
748,cant believe little brother married,0
749,teaching soccer lot fun,0
750,look like demi yes august blast,2
751,forgot mention version heap version song,0
752,cleaning old apartment today,2
753,happy mother day mum,0
754,awful test,1
755,sorry hear work,1
756,,0
757,angry,2
758,guy,1
759,science quot mean,2
760,legend watched dinner pretty funny,0
761,watching yo young cute funny miss,2
762,sorry change plan revision exam park friend,1
763,early morning home,0
764,thats good day,1
765,cake oven smell delicious,1
766,ton fun w muffin today,0
767,cant believe coming near place cant love jenny,0
768,miss know given headache thinking want cry,1
769,,0
770,wont comment girl sang crush wud u know,2
771,mean,2
772,finally sickness,0
773,cold getting chill,1
774,live cost lot wish follow,1
775,yeah breathe like second thought die,0
776,ill follow sticker usage,2
777,think dancing little woo,0
778,event great star trek movie fantastic quinto hot study life perfect,0
779,sitting,0
780,small dog good hear center new york queen mary real treat,1
781,itchy eye,2
782,awesome saw night great perfect casting,0
783,late,1
784,food cheesecake factory w travis lost passport,2
785,maxim magazine hot,2
786,sorry didnt,1
787,found ankle hurt,1
788,damn u headed,0
789,love new twitter,2
790,waiting chase hell money miss,0
791,th,2
792,tonight jay leno tonight,1
793,pic,2
794,actually watch yes admit popular culture doesnt define,1
795,officially hit wall totally work,1
796,coverage sky dish bad moment block place annoying,1
797,glad concert week getting sick need time recover lung hurt bad right,0
798,word,0
799,yes wasnt watching,0
800,sadly awake wondering contact fun folk hung shop b miss guy,0
801,explain worked rude explanation,1
802,come party,2
803,server phoenix,0
804,great awesome cry bad,0
805,morning,2
806,probably suck,1
807,club card picture world hunger gold thing awesome bad dont,1
808,finally stupid holiday missing fit bar men,1
809,grand hour,0
810,need,2
811,getting dinner ready going life,2
812,sunny day cant possible outside life,1
813,lazy day alcoholic end,2
814,work came,2
815,q dont marry ex dont ring ending pawn u need,3
816,outside r hotel far,1
817,hard twitter talk real life impossible,1
818,feel bad good,1
819,different rest,2
820,text u ask puff meant,1
821,dang certain,2
822,wait home watch new moon trailer clip stupid work access restriction,1
823,got getting time money think ill sale,0
824,tara time friend birthday food pretty bad,1
825,dont know havent recently,2
826,healthy food helping,1
827,post guitar hero kicking,0
828,salon happy mother day,0
829,miss grandma like grandma,1
830,bout work wicked sunburn chest,3
831,pol song new album missing,1
832,,2
833,welcome sweetie hug,0
834,train tripping national train day leave comment adventure site,0
835,learned hoedown throwdown,2
836,central lesson history state parasite expand destroy host population,3
837,process learning drive stick shift getting easier thanks,2
838,nice weather dry hot weather hear la,2
839,cool fly,0
840,thanks tip use thanks advance,2
841,time explain process,0
842,crossing finger fun group,1
843,work,1
844,dog officially depressed brother dog gone doesnt want outside play halfheartedly,1
845,twitter today hour work till weekend,0
846,new year festival love traditional dance outfit,0
847,cant work option,2
848,got home meeting girl exhausted world,2
849,got booked solid doesnt matter mum got plant,1
850,beer pong jess,0
851,hate hair hiss tee feel like ghetto wid dis style,3
852,making trying code know help,1
853,yes know split train thought tweet think time summer,2
854,night,2
855,help represent high profile actor career free jersey boy,0
856,saw listing saw,0
857,sex city oh miss week,0
858,preorder collection visit,2
859,love knowledge love math song,0
860,joe,2
861,annoying date stamp picture wish id turn,1
862,stop,1
863,oh hope find kitten,1
864,girl traditional clothes object tourist wat,1
865,finished exam finished chose different course friend exam week,2
866,ah knowing want charge way extra,2
867,going,2
868,post link version time read,1
869,disgusted baron spelling lesson r u love,1
870,mind,1
871,yesterday friend thrown horse lorry drove past slow,1
872,,3
873,visiting grandparent dropping sister week wish excuse tired today,0
874,god awesome god god glory chance love,0
875,want exception,1
876,shrug funny plus know tweet whore love,0
877,buff people dont know sad sweet,1
878,time job hopefully need help,1
879,chick reply wrote,2
880,happy day th world,0
881,live coming live,2
882,yes good fi know,0
883,cant stupid ban,1
884,want new phone ugh week,0
885,hit car,1
886,little storm,2
887,guy need week went cache hunt,2
888,got phone vote led phone number connection,1
889,new baby exciting advance,0
890,head ache,1
891,second episode sonny new tonight amazing,0
892,tired jake work,1
893,horrible singing sure work wish afford drum set,3
894,getting ready meet laura training sick,0
895,know feel la bam missing terribly wont,1
896,thank,1
897,real weekly horror horror,1
898,home bed super duper excited tomorrow,0
899,phone brand new add switching saying,1
900,cant come want tho fun u morrow tho,1
901,signal pretty bad getting tech fixed,1
902,hour dont want leave,0
903,want watch episode,0
904,bad night work,1
905,airport moment waiting plane leave hour hour plane,0
906,happy mother day,0
907,hate pregnant woman irresponsible n selfish ultimately baby,3
908,sitting outside nice,0
909,video watch,0
910,happy mother day mamma lucky live life little st,0
911,sorry sister think man bit happy guy,1
912,ill guess weekend major tweet craving entire time,1
913,finally picked struggling wrap hand got lot sooner,0
914,thing ill prefer impatient,0
915,menu window dont sell bubble tea,1
916,happy mother day mother world,0
917,miss,1
918,suppose certain charm id personally hold track phone like phone chunky,0
919,best song,2
920,twice week club lounge computer broken,3
921,got,2
922,song hate dont care right listen,3
923,need job,1
924,oh poor thing booked ticket pat night,1
925,ill leave hour,2
926,doesnt feel good cant miss work tomorrow,1
927,mother day gift,0
928,shirt shockable hope good day,0
929,stab piece hot course roof mouth blood mouth,1
930,hardware store guy told screw impossible remove head completely gone opinion,1
931,big scary bug flying room,1
932,tweet talk follow ya,0
933,time turn phone night sleep,0
934,lost help find good home,1
935,best bike best guy love sound think unnecessary ask ride nice,0
936,boy baby tooth came,1
937,training exercise new looking forward hour bus ride home weekend,1
938,trying follower trying interaction,3
939,,0
940,doesnt look good burn,1
941,got,0
942,thats bad want like bedroom,0
943,,2
944,hate midget dream boston market kept head bunting,3
945,good morning wishing great day,2
946,nope offense meant,2
947,morning,2
948,bullying,1
949,way home mother son day bought new shoe,1
950,try catch swarm gone roof gable end set bait hive best moment,0
951,sick wade mood swing hate,0
952,recommend broken duck toy came person giving mad trust,1
953,supernatural good bed long day school tomorrow x,0
954,thank god havent quit day job p turning tomorrow round,0
955,happy mother day hungry closed damn,3
956,thank,0
957,thinking,1
958,movie,0
959,math class shoot boring,2
960,home work hour sleep mile new bike,0
961,got report card average went kick notch,1
962,dont,1
963,retarded thing th know like retarded,0
964,romantic novel cried end going bed tired,1
965,feel cheery despite stuck indoors day,1
966,sent u direct message mail,2
967,headache,1
968,aw later,2
969,good morning great thanks following,0
970,relaxation thing list,0
971,work little time,1
972,miss jay leno,1
973,oh mean true improperly know,1
974,working day weekend coming week,1
975,drive dad airport fly,0
976,nice glass look good,0
977,sound,0
978,stupid homework waste time,1
979,enjoying cup chicken soup,0
980,dont ask today rest week looking forward weekend weather,2
981,brand dairy dark ill try store,0
982,getting people dont know want cant wait home tonight,3
983,hate making jump low health money ammo food dont worry ill,1
984,ha think love country,2
985,party week,0
986,dont ruin,1
987,run weather,2
988,new album bloody time,0
989,thats elaine got cartilage pierced cute,2
990,hungry dont bed,2
